PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	3PM	3PA	FTM	FTA	REB	AST	STL	BLK	+/-
Dwight Howard	LAL	LAL vs. LAC	12/25/2019	L	12	2	1	1	0	0	0	1	9	2	0	1	-1
JaVale McGee	LAL	LAL vs. LAC	12/25/2019	L	15	2	1	3	0	0	0	0	3	0	0	5	-7
Danny Green	LAL	LAL vs. LAC	12/25/2019	L	29	6	2	8	2	7	0	0	3	1	2	0	-8
Avery Bradley	LAL	LAL vs. LAC	12/25/2019	L	17	2	1	5	0	2	0	0	2	0	0	0	-9
Anthony Davis	LAL	LAL vs. LAC	12/25/2019	L	39	24	8	17	1	6	7	8	6	3	2	2	-10
Alex Caruso	LAL	LAL vs. LAC	12/25/2019	L	11	2	1	4	0	1	0	0	1	1	2	0	-5
LeBron James	LAL	LAL vs. LAC	12/25/2019	L	39	23	9	24	2	12	3	4	9	10	2	1	3
Landry Shamet	LAC	LAC @ LAL	12/25/2019	W	19	7	3	7	1	4	0	0	1	0	0	0	-2
Patrick Patterson	LAC	LAC @ LAL	12/25/2019	W	14	4	2	3	0	1	0	0	1	0	0	0	-7
Montrezl Harrell	LAC	LAC @ LAL	12/25/2019	W	31	18	8	12	0	0	2	2	6	0	0	1	1
Russell Westbrook	HOU	HOU @ GSW	12/25/2019	L	40	30	11	32	0	8	8	8	12	5	0	0	-9
Ky Bowman	GSW	GSW vs. HOU	12/25/2019	W	22	4	1	4	0	2	2	2	5	6	0	1	14
Damion Lee	GSW	GSW vs. HOU	12/25/2019	W	31	22	5	9	2	2	10	10	15	4	3	0	8
Marquese Chriss	GSW	GSW vs. HOU	12/25/2019	W	12	6	3	6	0	1	0	0	2	0	0	0	-10
D'Angelo Russell	GSW	GSW vs. HOU	12/25/2019	W	31	20	8	19	1	10	3	4	3	4	1	1	-4
Draymond Green	GSW	GSW vs. HOU	12/25/2019	W	34	20	8	14	2	4	2	3	11	3	0	1	20
Glenn Robinson III	GSW	GSW vs. HOU	12/25/2019	W	37	18	6	13	2	2	4	4	4	3	1	0	24
Willie Cauley-Stein	GSW	GSW vs. HOU	12/25/2019	W	31	10	5	7	0	0	0	0	4	0	2	4	29
Jacob Evans	GSW	GSW vs. HOU	12/25/2019	W	8	8	3	5	1	2	1	1	2	1	0	0	-1
Omari Spellman	GSW	GSW vs. HOU	12/25/2019	W	2	0	0	0	0	0	0	0	0	0	0	0	-4
Eric Paschall	GSW	GSW vs. HOU	12/25/2019	W	7	0	0	1	0	0	0	0	3	2	0	0	-9
Tyson Chandler	HOU	HOU @ GSW	12/25/2019	L	4	0	0	0	0	0	0	0	1	0	0	0	-6
James Harden	HOU	HOU @ GSW	12/25/2019	L	38	24	9	18	6	10	0	1	6	11	3	0	-18
Clint Capela	HOU	HOU @ GSW	12/25/2019	L	29	10	4	9	0	0	2	2	11	0	1	1	-20
Danuel House Jr.	HOU	HOU @ GSW	12/25/2019	L	35	18	5	15	5	12	3	4	5	0	1	1	-12
Gary Clark	HOU	HOU @ GSW	12/25/2019	L	9	3	1	3	1	3	0	0	1	0	1	0	6
P.J. Tucker	HOU	HOU @ GSW	12/25/2019	L	38	7	3	6	1	4	0	0	8	2	0	0	-10
Alec Burks	GSW	GSW vs. HOU	12/25/2019	W	24	8	2	9	1	5	3	4	5	4	0	1	-7
Austin Rivers	HOU	HOU @ GSW	12/25/2019	L	19	6	2	8	1	5	1	1	3	1	2	0	5
Ben McLemore	HOU	HOU @ GSW	12/25/2019	L	28	6	2	9	2	9	0	0	2	0	0	1	4
Kyle Korver	MIL	MIL @ PHI	12/25/2019	L	20	3	1	4	1	2	0	0	5	2	0	0	-2
Furkan Korkmaz	PHI	PHI vs. MIL	12/25/2019	W	25	16	5	10	4	5	2	4	2	0	3	1	20
Khris Middleton	MIL	MIL @ PHI	12/25/2019	L	33	31	12	21	5	9	2	2	8	4	1	0	-7
Wesley Matthews	MIL	MIL @ PHI	12/25/2019	L	25	4	2	5	0	1	0	0	2	3	0	0	-19
George Hill	MIL	MIL @ PHI	12/25/2019	L	26	15	6	7	3	3	0	0	1	2	0	1	-8
Giannis Antetokounmpo	MIL	MIL @ PHI	12/25/2019	L	30	18	8	27	0	7	2	4	14	7	1	1	-18
Ben Simmons	PHI	PHI vs. MIL	12/25/2019	W	38	15	7	10	0	0	1	2	7	14	3	2	9
Donte DiVincenzo	MIL	MIL @ PHI	12/25/2019	L	26	6	3	5	0	2	0	0	4	2	2	0	-8
Al Horford	PHI	PHI vs. MIL	12/25/2019	W	33	11	3	12	3	7	2	2	10	5	1	1	-2
Tobias Harris	PHI	PHI vs. MIL	12/25/2019	W	35	22	8	16	5	7	1	1	4	2	1	0	5
James Ennis III	PHI	PHI vs. MIL	12/25/2019	W	16	2	1	6	0	4	0	0	7	1	0	0	-4
Josh Richardson	PHI	PHI vs. MIL	12/25/2019	W	37	18	7	20	4	11	0	0	5	4	1	1	4
Sterling Brown	MIL	MIL @ PHI	12/25/2019	L	12	7	3	4	0	0	1	1	3	0	0	0	15
Mike Scott	PHI	PHI vs. MIL	12/25/2019	W	17	3	1	3	1	3	0	0	2	0	0	0	10
Robin Lopez	MIL	MIL @ PHI	12/25/2019	L	8	2	1	4	0	3	0	0	0	0	0	0	-12
Brook Lopez	MIL	MIL @ PHI	12/25/2019	L	33	11	4	8	3	5	0	0	5	1	0	1	5
Ersan Ilyasova	MIL	MIL @ PHI	12/25/2019	L	15	7	3	5	1	1	0	0	1	1	0	2	-9
Joel Embiid	PHI	PHI vs. MIL	12/25/2019	W	28	31	11	21	3	6	6	6	11	3	0	2	15
Trey Burke	PHI	PHI vs. MIL	12/25/2019	W	10	3	1	3	1	1	0	0	1	0	0	0	3
Pat Connaughton	MIL	MIL @ PHI	12/25/2019	L	11	5	2	5	0	0	1	1	4	1	2	1	3
Rondae Hollis-Jefferson	TOR	TOR vs. BOS	12/25/2019	L	18	6	2	7	0	0	2	3	3	0	2	1	-14
Patrick McCaw	TOR	TOR vs. BOS	12/25/2019	L	32	2	1	5	0	1	0	0	3	0	1	0	-22
Fred VanVleet	TOR	TOR vs. BOS	12/25/2019	L	37	27	11	21	2	5	3	3	4	6	4	0	-17
Jayson Tatum	BOS	BOS @ TOR	12/25/2019	W	35	11	5	18	1	3	0	0	9	6	2	0	21
Terence Davis	TOR	TOR vs. BOS	12/25/2019	L	22	6	2	4	0	2	2	2	5	1	2	0	-5
Chris Boucher	TOR	TOR vs. BOS	12/25/2019	L	28	24	7	10	3	4	7	8	6	0	0	2	-5
Romeo Langford	BOS	BOS @ TOR	12/25/2019	W	20	2	1	4	0	3	0	0	2	0	1	0	19
Gordon Hayward	BOS	BOS @ TOR	12/25/2019	W	26	14	6	9	2	4	0	0	5	6	2	1	9
Brad Wanamaker	BOS	BOS @ TOR	12/25/2019	W	20	6	2	6	0	2	2	2	1	3	1	0	8
Jaylen Brown	BOS	BOS @ TOR	12/25/2019	W	35	30	10	13	5	7	5	6	6	4	0	0	6
Daniel Theis	BOS	BOS @ TOR	12/25/2019	W	24	13	6	7	1	1	0	0	6	1	0	0	3
Carsen Edwards	BOS	BOS @ TOR	12/25/2019	W	3	0	0	0	0	0	0	0	1	0	1	0	-6
Tremont Waters	BOS	BOS @ TOR	12/25/2019	W	3	2	1	3	0	1	0	0	0	0	0	0	-6
Grant Williams	BOS	BOS @ TOR	12/25/2019	W	12	4	1	3	0	1	2	2	2	0	0	1	13
Kyle Lowry	TOR	TOR vs. BOS	12/25/2019	L	37	14	4	13	3	7	3	4	4	8	2	1	-16
Serge Ibaka	TOR	TOR vs. BOS	12/25/2019	L	23	12	6	9	0	1	0	0	8	1	1	0	-11
Stanley Johnson	TOR	TOR vs. BOS	12/25/2019	L	4	6	3	4	0	0	0	0	0	0	1	0	1
OG Anunoby	TOR	TOR vs. BOS	12/25/2019	L	25	5	2	6	0	2	1	2	1	0	0	2	-4
Oshae Brissett	TOR	TOR vs. BOS	12/25/2019	L	3	0	0	0	0	0	0	0	0	0	0	1	6
Semi Ojeleye	BOS	BOS @ TOR	12/25/2019	W	7	0	0	2	0	1	0	0	0	1	0	0	-12
Javonte Green	BOS	BOS @ TOR	12/25/2019	W	3	2	1	1	0	0	0	0	1	0	0	1	-6
Malcolm Miller	TOR	TOR vs. BOS	12/25/2019	L	11	0	0	1	0	1	0	0	0	1	0	0	7
Enes Kanter	BOS	BOS @ TOR	12/25/2019	W	18	12	5	10	0	0	2	2	11	1	0	0	8
Kemba Walker	BOS	BOS @ TOR	12/25/2019	W	33	22	8	16	5	10	1	2	1	4	0	0	23
Marco Belinelli	SAS	SAS @ DAL	12/26/2019	L	15	2	1	5	0	4	0	0	3	1	0	0	5
Trey Lyles	SAS	SAS @ DAL	12/26/2019	L	22	5	2	6	1	2	0	0	5	1	0	0	-19
Bryn Forbes	SAS	SAS @ DAL	12/26/2019	L	25	7	3	7	0	4	1	1	4	0	0	0	12
Derrick White	SAS	SAS @ DAL	12/26/2019	L	25	10	4	10	2	5	0	0	4	6	0	1	0
Maxi Kleber	DAL	DAL vs. SAS	12/26/2019	W	31	6	2	7	2	6	0	0	12	2	1	0	2
Dejounte Murray	SAS	SAS @ DAL	12/26/2019	L	27	4	2	7	0	1	0	0	3	2	3	0	-8
DeMar DeRozan	SAS	SAS @ DAL	12/26/2019	L	35	21	8	15	0	0	5	6	5	4	1	0	-11
Delon Wright	DAL	DAL vs. SAS	12/26/2019	W	21	12	5	11	2	5	0	0	5	4	3	0	-4
Jalen Brunson	DAL	DAL vs. SAS	12/26/2019	W	14	6	2	4	2	4	0	0	1	3	0	0	4
Jakob Poeltl	SAS	SAS @ DAL	12/26/2019	L	17	6	3	3	0	0	0	4	5	1	0	2	2
Patty Mills	SAS	SAS @ DAL	12/26/2019	L	18	8	3	7	0	4	2	2	1	0	2	0	-10
Kristaps Porzingis	DAL	DAL vs. SAS	12/26/2019	W	35	13	4	15	3	8	2	4	8	3	1	1	-9
Seth Curry	DAL	DAL vs. SAS	12/26/2019	W	16	0	0	1	0	0	0	0	0	1	0	0	-3
Rudy Gay	SAS	SAS @ DAL	12/26/2019	L	26	18	7	10	4	7	0	0	8	2	2	2	15
LaMarcus Aldridge	SAS	SAS @ DAL	12/26/2019	L	31	17	7	13	1	2	2	2	7	1	1	2	-6
Luka Doncic	DAL	DAL vs. SAS	12/26/2019	W	33	24	9	23	1	6	5	8	10	8	1	0	3
Dorian Finney-Smith	DAL	DAL vs. SAS	12/26/2019	W	33	13	5	6	3	4	0	0	6	0	0	1	10
Dwight Powell	DAL	DAL vs. SAS	12/26/2019	W	30	11	4	9	0	1	3	3	7	1	1	1	15
Tim Hardaway Jr.	DAL	DAL vs. SAS	12/26/2019	W	28	17	7	14	3	6	0	0	3	0	0	0	2
Jonas Valanciunas	MEM	MEM @ OKC	12/26/2019	W	28	21	9	11	0	0	3	4	4	1	0	0	2
Brandon Clarke	MEM	MEM @ OKC	12/26/2019	W	19	13	5	6	2	2	1	2	4	2	1	1	10
Jaren Jackson Jr.	MEM	MEM @ OKC	12/26/2019	W	35	20	9	19	2	9	0	0	4	4	2	3	17
Grayson Allen	MEM	MEM @ OKC	12/26/2019	W	13	5	2	3	1	1	0	0	0	1	0	0	-13
Dillon Brooks	MEM	MEM @ OKC	12/26/2019	W	25	8	2	8	1	2	3	4	2	0	1	0	-6
Tyus Jones	MEM	MEM @ OKC	12/26/2019	W	22	15	6	7	3	4	0	0	2	2	0	0	12
Jae Crowder	MEM	MEM @ OKC	12/26/2019	W	26	5	2	8	1	5	0	0	10	1	0	0	-1
Darius Bazley	OKC	OKC vs. MEM	12/26/2019	L	19	3	1	5	1	4	0	0	4	0	0	0	-14
Deonte Burton	OKC	OKC vs. MEM	12/26/2019	L	9	0	0	2	0	1	0	0	1	0	0	0	-8
Kevin Hervey	OKC	OKC vs. MEM	12/26/2019	L	1	0	0	1	0	0	0	0	0	0	0	0	-2
Mike Muscala	OKC	OKC vs. MEM	12/26/2019	L	11	0	0	2	0	2	0	0	3	0	0	0	-13
Nerlens Noel	OKC	OKC vs. MEM	12/26/2019	L	17	2	1	2	0	0	0	0	3	1	2	3	-10
Dennis Schroder	OKC	OKC vs. MEM	12/26/2019	L	32	20	8	21	2	7	2	2	3	3	1	0	-12
Steven Adams	OKC	OKC vs. MEM	12/26/2019	L	28	16	7	10	0	0	2	4	6	4	1	1	8
Solomon Hill	MEM	MEM @ OKC	12/26/2019	W	14	2	1	3	0	1	0	0	5	1	0	3	-3
Kyle Anderson	MEM	MEM @ OKC	12/26/2019	W	12	2	1	3	0	0	0	0	6	7	0	1	21
Abdel Nader	OKC	OKC vs. MEM	12/26/2019	L	17	6	2	9	2	5	0	0	2	1	0	0	-7
Terrance Ferguson	OKC	OKC vs. MEM	12/26/2019	L	35	6	2	6	2	6	0	0	3	2	1	0	-6
Shai Gilgeous-Alexander	OKC	OKC vs. MEM	12/26/2019	L	37	21	8	19	1	6	4	4	3	1	3	0	-9
De'Anthony Melton	MEM	MEM @ OKC	12/26/2019	W	20	9	4	7	0	0	1	1	8	4	2	0	25
Ja Morant	MEM	MEM @ OKC	12/26/2019	W	26	10	5	9	0	1	0	0	5	3	0	0	1
Chris Paul	OKC	OKC vs. MEM	12/26/2019	L	34	23	9	15	2	4	3	3	6	11	3	0	8
Bobby Portis	NYK	NYK @ BKN	12/26/2019	W	18	2	0	6	0	4	2	2	8	1	0	0	-7
Kadeem Allen	NYK	NYK @ BKN	12/26/2019	W	2	0	0	1	0	1	0	0	0	0	0	0	-6
Kevin Knox II	NYK	NYK @ BKN	12/26/2019	W	14	4	1	3	0	0	2	2	3	0	1	0	-5
Mitchell Robinson	NYK	NYK @ BKN	12/26/2019	W	28	10	4	6	0	0	2	5	10	1	1	2	12
RJ Barrett	NYK	NYK @ BKN	12/26/2019	W	24	5	2	10	1	4	0	0	7	2	1	0	20
Ignas Brazdeikis	NYK	NYK @ BKN	12/26/2019	W	1	0	0	0	0	0	0	0	0	0	0	0	-2
Theo Pinson	BKN	BKN vs. NYK	12/26/2019	L	9	3	1	3	1	3	0	0	1	3	0	0	2
Joe Harris	BKN	BKN vs. NYK	12/26/2019	L	31	8	3	12	2	7	0	0	6	2	0	0	-8
Jarrett Allen	BKN	BKN vs. NYK	12/26/2019	L	27	4	0	2	0	0	4	6	6	2	1	1	-16
Frank Ntilikina	NYK	NYK @ BKN	12/26/2019	W	14	3	1	5	1	3	0	0	0	1	1	0	-7
Julius Randle	NYK	NYK @ BKN	12/26/2019	W	35	33	14	26	5	9	0	0	8	2	0	0	25
Damyean Dotson	NYK	NYK @ BKN	12/26/2019	W	25	2	1	3	0	0	0	0	5	2	1	0	-12
Wilson Chandler	BKN	BKN vs. NYK	12/26/2019	L	18	4	2	9	0	6	0	0	4	2	0	0	-10
DeAndre Jordan	BKN	BKN vs. NYK	12/26/2019	L	18	8	2	6	0	0	4	5	6	1	0	0	-1
Garrett Temple	BKN	BKN vs. NYK	12/26/2019	L	30	7	2	10	2	7	1	2	9	1	0	0	-5
Spencer Dinwiddie	BKN	BKN vs. NYK	12/26/2019	L	32	25	5	15	3	9	12	17	8	3	0	0	-10
Henry Ellenson	BKN	BKN vs. NYK	12/26/2019	L	4	0	0	2	0	2	0	0	0	0	0	0	5
Taurean Prince	BKN	BKN vs. NYK	12/26/2019	L	28	3	1	10	1	10	0	0	5	2	0	1	-13
Timothe Luwawu-Cabarrot	BKN	BKN vs. NYK	12/26/2019	L	20	10	2	3	2	3	4	4	2	1	2	1	-11
Dzanan Musa	BKN	BKN vs. NYK	12/26/2019	L	5	2	1	2	0	1	0	0	0	0	0	0	6
Rodions Kurucs	BKN	BKN vs. NYK	12/26/2019	L	19	8	2	4	2	2	2	2	3	0	0	0	1
Taj Gibson	NYK	NYK @ BKN	12/26/2019	W	12	0	0	4	0	0	0	0	4	1	0	0	0
Marcus Morris Sr.	NYK	NYK @ BKN	12/26/2019	W	34	22	8	16	1	4	5	5	8	2	0	0	17
Elfrid Payton	NYK	NYK @ BKN	12/26/2019	W	32	13	6	12	1	4	0	1	7	4	1	0	25
Thon Maker	DET	DET vs. WAS	12/26/2019	W	13	4	1	2	0	1	2	2	1	2	0	1	0
Svi Mykhailiuk	DET	DET vs. WAS	12/26/2019	W	25	12	4	11	4	9	0	0	4	4	1	0	21
Louis King	DET	DET vs. WAS	12/26/2019	W	4	2	1	3	0	1	0	0	1	0	1	0	1
Troy Brown Jr.	WAS	WAS @ DET	12/26/2019	L	28	13	6	14	1	2	0	1	6	1	1	0	-13
Andre Drummond	DET	DET vs. WAS	12/26/2019	W	25	14	5	6	0	0	4	7	10	0	0	1	11
Derrick Rose	DET	DET vs. WAS	12/26/2019	W	21	15	6	11	3	6	0	0	2	6	1	0	10
Langston Galloway	DET	DET vs. WAS	12/26/2019	W	18	6	2	5	1	3	1	1	3	0	0	0	-1
Bruce Brown	DET	DET vs. WAS	12/26/2019	W	27	12	5	6	2	2	0	0	5	5	2	1	13
Tony Snell	DET	DET vs. WAS	12/26/2019	W	23	10	3	9	2	8	2	2	0	1	0	0	26
Anzejs Pasecniks	WAS	WAS @ DET	12/26/2019	L	24	17	7	11	0	0	3	5	6	1	2	0	-3
Tim Frazier	DET	DET vs. WAS	12/26/2019	W	27	17	5	8	5	6	2	2	2	6	0	0	20
Jordan McRae	WAS	WAS @ DET	12/26/2019	L	15	15	5	10	1	3	4	6	2	2	0	1	-4
Ian Mahinmi	WAS	WAS @ DET	12/26/2019	L	19	5	1	4	0	1	3	4	5	0	1	1	-23
Ish Smith	WAS	WAS @ DET	12/26/2019	L	23	9	3	11	1	4	2	2	1	2	0	0	-29
Bradley Beal	WAS	WAS @ DET	12/26/2019	L	24	15	5	14	0	5	5	7	2	2	1	0	-25
Gary Payton II	WAS	WAS @ DET	12/26/2019	L	31	10	4	8	2	3	0	0	5	5	1	2	-6
Isaac Bonga	WAS	WAS @ DET	12/26/2019	L	7	2	1	4	0	1	0	0	2	0	0	0	-10
Johnathan Williams	WAS	WAS @ DET	12/26/2019	L	33	9	4	6	0	0	1	1	8	2	0	1	-16
Justin Robinson	WAS	WAS @ DET	12/26/2019	L	9	3	1	2	1	1	0	0	1	2	0	0	-3
Admiral Schofield	WAS	WAS @ DET	12/26/2019	L	19	0	0	6	0	2	0	0	3	0	0	0	-14
Garrison Mathews	WAS	WAS @ DET	12/26/2019	L	8	4	1	2	1	2	1	1	3	1	1	0	-4
Blake Griffin	DET	DET vs. WAS	12/26/2019	W	26	14	5	11	0	6	4	6	11	4	0	1	22
Markieff Morris	DET	DET vs. WAS	12/26/2019	W	9	4	2	5	0	2	0	0	2	1	0	0	8
Christian Wood	DET	DET vs. WAS	12/26/2019	W	24	22	7	9	2	4	6	6	7	3	0	1	19
Damian Lillard	POR	POR @ UTA	12/26/2019	L	37	34	10	21	7	13	7	8	4	8	0	0	-26
Kent Bazemore	POR	POR @ UTA	12/26/2019	L	24	6	2	7	2	4	0	0	5	0	1	0	-23
Nassir Little	POR	POR @ UTA	12/26/2019	L	11	0	0	1	0	0	0	0	0	0	0	0	-2
Bojan Bogdanovic	UTA	UTA vs. POR	12/26/2019	W	37	16	5	15	1	7	5	5	4	1	1	0	12
Rudy Gobert	UTA	UTA vs. POR	12/26/2019	W	36	16	7	7	0	0	2	6	15	2	0	1	13
Emmanuel Mudiay	UTA	UTA vs. POR	12/26/2019	W	16	4	2	4	0	1	0	0	1	4	0	0	-3
Royce O'Neale	UTA	UTA vs. POR	12/26/2019	W	31	8	3	4	2	3	0	0	7	4	0	0	20
Tony Bradley	UTA	UTA vs. POR	12/26/2019	W	3	2	1	1	0	0	0	0	1	0	0	0	-5
Carmelo Anthony	POR	POR @ UTA	12/26/2019	L	37	12	5	13	1	4	1	3	7	0	1	0	-4
Ed Davis	UTA	UTA vs. POR	12/26/2019	W	9	0	0	0	0	0	0	0	3	0	0	0	-2
Jordan Clarkson	UTA	UTA vs. POR	12/26/2019	W	21	9	4	12	1	6	0	0	0	0	1	0	-14
Joe Ingles	UTA	UTA vs. POR	12/26/2019	W	36	26	10	15	6	10	0	0	5	4	1	0	2
Skal Labissiere	POR	POR @ UTA	12/26/2019	L	26	10	4	6	0	0	2	3	7	3	0	0	19
Georges Niang	UTA	UTA vs. POR	12/26/2019	W	14	5	2	4	1	3	0	0	2	0	0	0	-5
Donovan Mitchell	UTA	UTA vs. POR	12/26/2019	W	38	35	12	19	3	6	8	11	3	7	0	0	12
Anfernee Simons	POR	POR @ UTA	12/26/2019	L	28	15	7	9	1	3	0	0	10	0	0	0	22
Gary Trent Jr.	POR	POR @ UTA	12/26/2019	L	17	5	2	4	1	2	0	0	0	0	1	0	16
CJ McCollum	POR	POR @ UTA	12/26/2019	L	38	25	10	23	3	8	2	2	4	2	1	0	-4
Hassan Whiteside	POR	POR @ UTA	12/26/2019	L	22	8	3	5	0	0	2	3	6	1	0	1	-28
Josh Okogie	MIN	MIN @ SAC	12/26/2019	W	18	7	3	5	0	0	1	2	5	0	0	0	1
Kelan Martin	MIN	MIN @ SAC	12/26/2019	W	5	3	1	2	1	2	0	0	1	2	0	0	-1
Robert Covington	MIN	MIN @ SAC	12/26/2019	W	40	19	8	19	2	8	1	2	8	1	0	2	12
Richaun Holmes	SAC	SAC vs. MIN	12/26/2019	L	45	20	9	15	0	0	2	2	18	3	2	2	-1
Trevor Ariza	SAC	SAC vs. MIN	12/26/2019	L	34	0	0	3	0	2	0	0	11	3	1	0	-9
Harrison Barnes	SAC	SAC vs. MIN	12/26/2019	L	42	11	2	12	2	4	5	6	10	1	0	0	2
Gorgui Dieng	MIN	MIN @ SAC	12/26/2019	W	41	21	7	13	3	7	4	4	15	0	2	1	5
Bogdan Bogdanovic	SAC	SAC vs. MIN	12/26/2019	L	43	19	8	28	3	16	0	2	7	2	1	3	0
Jarrett Culver	MIN	MIN @ SAC	12/26/2019	W	14	5	2	7	0	2	1	3	2	0	2	1	0
Nemanja Bjelica	SAC	SAC vs. MIN	12/26/2019	L	16	7	2	6	1	2	2	2	4	0	0	1	-3
Cory Joseph	SAC	SAC vs. MIN	12/26/2019	L	40	10	3	10	0	1	4	4	6	7	2	0	-5
Dewayne Dedmon	SAC	SAC vs. MIN	12/26/2019	L	2	0	0	0	0	0	0	0	1	0	0	1	0
Yogi Ferrell	SAC	SAC vs. MIN	12/26/2019	L	10	0	0	2	0	0	0	0	1	1	0	1	-2
De'Aaron Fox	SAC	SAC vs. MIN	12/26/2019	L	2	2	1	1	0	0	0	0	1	2	0	0	4
Marvin Bagley III	SAC	SAC vs. MIN	12/26/2019	L	20	18	6	10	0	3	6	7	4	0	1	0	7
Justin James	SAC	SAC vs. MIN	12/26/2019	L	0	0	0	0	0	0	0	0	0	0	0	0	0
Jeff Teague	MIN	MIN @ SAC	12/26/2019	W	37	15	5	17	1	6	4	4	6	3	0	1	-1
Treveon Graham	MIN	MIN @ SAC	12/26/2019	W	40	9	3	6	1	3	2	2	5	0	0	0	0
Buddy Hield	SAC	SAC vs. MIN	12/26/2019	L	37	17	6	20	3	11	2	2	4	1	1	0	2
Andrew Wiggins	MIN	MIN @ SAC	12/26/2019	W	44	18	4	19	2	9	8	10	10	7	0	0	1
Keita Bates-Diop	MIN	MIN @ SAC	12/26/2019	W	13	2	0	6	0	3	2	2	4	0	1	0	-10
Noah Vonleh	MIN	MIN @ SAC	12/26/2019	W	17	4	2	3	0	0	0	0	6	1	0	0	-4
Shabazz Napier	MIN	MIN @ SAC	12/26/2019	W	22	2	1	7	0	6	0	0	3	9	2	0	2
Bam Adebayo	MIA	MIA vs. IND	12/27/2019	W	36	18	8	10	0	0	2	2	15	6	0	0	2
Kendrick Nunn	MIA	MIA vs. IND	12/27/2019	W	28	17	7	14	3	7	0	0	4	4	0	0	3
T.J. McConnell	IND	IND @ MIA	12/27/2019	L	18	6	3	7	0	0	0	2	4	6	1	0	-5
Jeremy Lamb	IND	IND @ MIA	12/27/2019	L	30	16	6	11	1	3	3	3	4	1	0	2	4
Goran Dragic	MIA	MIA vs. IND	12/27/2019	W	29	14	6	14	2	5	0	0	3	6	1	0	1
Justin Holiday	IND	IND @ MIA	12/27/2019	L	30	11	4	8	3	6	0	0	1	1	2	0	-2
Edmond Sumner	IND	IND @ MIA	12/27/2019	L	18	11	5	7	1	2	0	0	4	1	2	2	-5
Derrick Jones Jr.	MIA	MIA vs. IND	12/27/2019	W	27	7	3	9	0	4	1	2	6	1	0	2	-3
Tyler Herro	MIA	MIA vs. IND	12/27/2019	W	22	10	4	11	2	6	0	0	9	4	0	0	1
Doug McDermott	IND	IND @ MIA	12/27/2019	L	21	14	5	10	4	7	0	0	1	2	0	0	-5
Kelly Olynyk	MIA	MIA vs. IND	12/27/2019	W	17	9	3	4	3	3	0	0	5	0	1	0	12
Domantas Sabonis	IND	IND @ MIA	12/27/2019	L	31	8	4	11	0	0	0	0	7	4	2	0	-5
Goga Bitadze	IND	IND @ MIA	12/27/2019	L	4	0	0	0	0	0	0	0	0	0	0	0	0
Aaron Holiday	IND	IND @ MIA	12/27/2019	L	30	17	7	15	1	4	2	2	3	9	0	0	4
Myles Turner	IND	IND @ MIA	12/27/2019	L	26	13	5	9	3	5	0	0	6	1	0	0	7
T.J. Warren	IND	IND @ MIA	12/27/2019	L	31	16	5	12	1	4	5	5	4	2	1	0	2
Duncan Robinson	MIA	MIA vs. IND	12/27/2019	W	28	18	6	11	6	10	0	0	3	2	0	0	-6
Meyers Leonard	MIA	MIA vs. IND	12/27/2019	W	19	0	0	5	0	3	0	0	2	0	0	0	-8
Jimmy Butler	MIA	MIA vs. IND	12/27/2019	W	33	20	3	11	0	0	14	15	9	6	1	0	3
Abdel Nader	OKC	OKC @ CHA	12/27/2019	W	17	2	1	3	0	2	0	0	1	1	0	1	3
Deonte Burton	OKC	OKC @ CHA	12/27/2019	W	21	6	3	8	0	3	0	1	3	1	0	0	3
Nerlens Noel	OKC	OKC @ CHA	12/27/2019	W	19	8	2	2	0	0	4	6	7	2	3	0	1
P.J. Washington	CHA	CHA vs. OKC	12/27/2019	L	37	14	7	15	0	2	0	2	5	0	0	1	20
Devonte' Graham	CHA	CHA vs. OKC	12/27/2019	L	46	15	6	21	3	13	0	0	9	13	1	0	4
Shai Gilgeous-Alexander	OKC	OKC @ CHA	12/27/2019	W	36	27	10	17	1	1	6	8	4	1	2	0	-1
Miles Bridges	CHA	CHA vs. OKC	12/27/2019	L	29	11	5	11	1	4	0	1	6	2	0	1	-2
Terrance Ferguson	OKC	OKC @ CHA	12/27/2019	W	29	0	0	3	0	3	0	0	5	0	0	0	-9
Terry Rozier	CHA	CHA vs. OKC	12/27/2019	L	36	26	10	18	3	9	3	4	4	3	1	0	-2
Steven Adams	OKC	OKC @ CHA	12/27/2019	W	34	14	6	9	0	0	2	4	12	3	2	2	1
Dennis Schroder	OKC	OKC @ CHA	12/27/2019	W	35	24	10	17	3	8	1	4	2	3	0	0	13
Cody Zeller	CHA	CHA vs. OKC	12/27/2019	L	24	8	4	9	0	2	0	0	8	1	2	0	-7
Chris Paul	OKC	OKC @ CHA	12/27/2019	W	35	16	6	20	0	6	4	4	7	6	1	0	-5
Cody Martin	CHA	CHA vs. OKC	12/27/2019	L	22	10	3	8	0	3	4	5	6	0	2	0	8
Dwayne Bacon	CHA	CHA vs. OKC	12/27/2019	L	6	0	0	3	0	1	0	0	2	1	1	0	-2
Malik Monk	CHA	CHA vs. OKC	12/27/2019	L	23	4	2	7	0	3	0	0	2	4	1	0	-13
Bismack Biyombo	CHA	CHA vs. OKC	12/27/2019	L	28	10	3	5	0	0	4	6	10	1	0	2	9
Marvin Williams	CHA	CHA vs. OKC	12/27/2019	L	14	4	2	4	0	2	0	0	2	1	0	0	-25
